APOGEE_ID,G_MAG,BP_MAG,RP_MAG
2M08492379+1154367,15.3166,15.7542,14.7195
2M08492491+1144057,11.7849,12.2854,11.1265
2M08492523+1145558,15.6112,16.0857,14.9835
2M08492885+1140082,15.2197,15.675999999999998,14.5853
2M08494490+1141562,15.3125,15.7594,14.6995
2M08494537+1155064,16.3285,16.930999999999997,15.5892
2M08494779+1158506,13.2074,13.4951,12.7611
2M08495261+1145352,15.6369,16.1135,15.004000000000001
2M08500003+1156481,13.3813,13.6705,12.9343
2M08500233+1145090,15.9673,16.5121,15.2764
2M08500429+1138591,17.1575,18.1218,16.1869
2M08500466+1152068,16.6453,17.3033,15.8593
2M08500819+1206581,16.5691,17.2232,15.7888
2M08500930+1135420,16.9676,17.7117,16.12
2M08501215+1142529,14.9539,15.3521,14.3919
2M08501230+1151246,8.22247,9.10507,7.3007100000000005
2M08501329+1137211,15.706,16.1872,15.0673
2M08501727+1154278,15.3148,15.7517,14.7154
2M08502115+1158369,15.2466,15.7164,14.6103
2M08502157+1150231,14.3454,14.6774,13.8504
2M08502434+1152362,15.1277,15.5284,14.5551
2M08502530+1204392,16.9095,17.7014,16.044
2M08502698+1148313,13.1848,13.4933,12.7134
2M08502736+1134431,16.9897,17.8254,16.0955
2M08502833+1142097,12.7822,13.0542,12.3579
2M08502988+1208070,12.4305,12.7407,11.9599
2M08503104+1151163,16.4811,17.1129,15.7196
2M08503184+1130076,15.3863,15.8328,14.7733
2M08503392+1146272,12.7229,13.0001,12.2919
2M08503438+1139566,12.4782,12.7826,12.0147
2M08503504+1153545,16.569000000000003,17.2769,15.7596
2M08503611+1137059,15.9318,16.4604,15.2481
2M08503613+1143180,12.4913,12.9564,11.8681
2M08503667+1148553,12.9006,13.2096,12.4318
2M08503700+1154047,14.2275,14.6477,13.6374
2M08503718+1201228,15.8132,16.3271,15.1456
2M08503785+1145354,16.3086,16.9255,15.574000000000002
2M08503804+1144254,16.0213,16.5651,15.3317
2M08503857+1146365,15.2288,15.6553,14.6301
2M08503978+1130184,16.6192,17.3759,15.7701
2M08503991+1158324,15.4668,15.9262,14.8468
2M08504048+1142115,13.9086,14.215,13.4451
2M08504079+1147462,12.7001,12.9759,12.2685
2M08504123+1156159,15.4614,15.9281,14.8355
2M08504168+1154326,16.7759,17.4787,15.9699
2M08504198+1136525,12.4983,12.8495,11.984000000000002
2M08504250+1139493,13.2829,13.5745,12.8316
2M08504255+1152273,16.4299,17.048,15.6777
2M08504364+1129326,15.3688,15.8142,14.7607
2M08504370+1145266,16.1534,16.7243,15.4351
2M08504401+1142494,15.4651,15.9166,14.8462
2M08504485+1140082,16.0642,16.6273,15.3605
2M08504511+1136023,15.3553,15.9124,14.6471
2M08504558+1210398,14.4623,14.8812,13.880999999999998
2M08504559+1155357,15.5633,16.0468,14.9224
2M08504609+1143082,12.9717,13.2636,12.5205
2M08504634+1154310,13.4757,13.8003,12.9879
2M08504639+1152167,14.7714,15.1992,14.173
2M08504704+1210128,12.4977,12.8406,11.9924
2M08504712+1142547,14.0063,14.3201,13.5321
2M08504811+1154476,13.9525,14.2681,13.4749
2M08504960+1151162,15.9718,16.6631,15.1706
2M08504964+1135089,10.9603,11.4962,10.2709
2M08504994+1149127,12.6893,13.1259,12.0925
2M08505142+1126541,16.6256,17.3263,15.817
2M08505151+1206037,16.1294,16.7486,15.3684
2M08505165+1155044,16.9318,17.6862,16.0911
2M08505177+1200247,13.2989,13.5889,12.8477
2M08505253+1208568,15.2586,15.6757,14.6718
2M08505263+1203370,15.1532,15.5647,14.5708
2M08505306+1131201,13.2308,13.524000000000001,12.7717
2M08505314+1149465,15.1565,15.572000000000001,14.578
2M08505334+1143399,14.2167,14.5792,13.6849
2M08505344+1144346,13.4477,13.7714,12.9605
2M08505439+1156290,12.6339,12.9187,12.1925
2M08505476+1135188,16.5437,17.2215,15.7744
2M08505477+1144141,16.8232,17.5652,15.989
2M08505498+1156503,15.4446,16.0133,14.7305
2M08505561+1200442,15.2533,15.6862,14.6598
2M08505567+1135354,13.2219,13.5094,12.7721
2M08505569+1152146,11.8292,12.127,11.3633
2M08505604+1209288,13.2046,13.4804,12.7692
2M08505621+1128316,15.7289,16.2324,15.0723
2M08505632+1151292,13.9592,14.2717,13.4854
2M08505653+1138081,13.9812,14.2913,13.5097
2M08505702+1159158,12.9644,13.2629,12.5075
2M08505762+1155147,13.2379,13.527000000000001,12.7885
2M08505798+1218321,12.4647,12.777999999999999,11.9898
2M08505903+1148576,13.4096,13.6966,12.9531
2M08505923+1146129,13.2968,13.6126,12.8203
2M08505923+1156368,13.0853,13.3829,12.6235
2M08510042+1154048,16.7343,17.4316,15.9367
2M08510076+1153115,14.607000000000001,14.9726,14.0773
2M08510106+1150108,12.5445,12.9191,12.0048
2M08510131+1141587,13.3576,13.64,12.9148
2M08510156+1147501,13.359000000000002,13.6637,12.8903
2M08510246+1155221,15.517000000000001,15.9932,14.8832
2M08510282+1152549,16.3341,16.9465,15.5872
2M08510286+1158580,15.95,16.4702,15.2733
2M08510325+1145473,12.5048,12.8178,12.0309
2M08510354+1151403,16.6983,17.3945,15.8806
2M08510470+1204193,13.405,13.6974,12.9537
2M08510483+1145568,13.3674,13.6746,12.8951
2M08510530+1201492,17.0308,17.9375,16.1132
2M08510576+1143469,13.8716,14.222999999999999,13.3546
2M08510600+1125454,13.3973,13.6929,12.9425
2M08510636+1154188,17.4192,18.6031,16.3448
2M08510644+1147306,16.0733,16.6302,15.3567
2M08510713+1213192,15.2046,15.622,14.6198
2M08510783+1159354,15.5266,15.9981,14.8951
2M08510811+1201065,13.4596,13.7648,12.9896
2M08510816+1149446,15.3216,15.7457,14.7323
2M08510822+1155359,15.5092,15.972999999999999,14.8851
2M08510839+1147121,12.1295,12.6165,11.4848
2M08510864+1146117,13.2834,13.57,12.837
2M08510866+1208444,17.0559,17.8348,16.1936
2M08510906+1203022,13.5677,13.8588,13.1177
2M08510922+1153141,17.0736,17.8691,16.2008
2M08510930+1133330,14.6273,14.9834,14.1046
2M08510951+1141449,12.602,12.9797,12.0617
2M08510969+1159096,13.6182,13.9086,13.1594
2M08511027+1201315,15.8162,16.3224,15.1574
2M08511130+1157212,15.497,15.9618,14.8696
2M08511176+1150018,15.109000000000002,15.6236,14.437000000000001
2M08511178+1145220,10.0084,9.96536,10.0674
2M08511229+1146212,13.0549,13.3609,12.5866
2M08511229+1154230,14.0044,14.3244,13.5211
2M08511269+1152423,10.2229,10.767999999999999,9.52899
2M08511292+1153522,15.3091,15.7427,14.7101
2M08511326+1157527,16.4819,17.1301,15.7204
2M08511335+1151401,13.1293,13.6706,12.4347
2M08511405+1133306,13.1696,13.4533,12.7276
2M08511446+1144409,15.4672,15.915999999999999,14.8492
2M08511476+1147238,12.6817,12.970999999999998,12.2356
2M08511501+1148527,17.0822,17.9192,16.1811
2M08511515+1126426,13.015,13.311,12.5619
2M08511564+1150561,12.7712,13.1981,12.1839
2M08511628+1144328,13.3017,13.603,12.8362
2M08511670+1145293,12.2109,12.585999999999999,11.6642
2M08511679+1150389,13.0211,13.3169,12.5626
2M08511704+1150464,10.8458,11.3872,10.152000000000001
2M08511710+1148160,9.92191,10.5594,9.15852
2M08511710+1152049,16.9505,17.755,16.0864
2M08511724+1135129,16.4865,17.1396,15.7168
2M08511805+1126290,13.097999999999999,13.3888,12.6474
2M08511810+1142547,13.1328,13.4304,12.6728
2M08511826+1150196,14.1311,14.4698,13.6205
2M08511827+1141296,15.6481,16.1279,15.0087
2M08511833+1143251,13.2783,13.5713,12.8231
2M08511840+1141041,16.221,16.9728,15.3876
2M08511854+1149214,12.4926,12.8033,12.0212
2M08511868+1147026,12.3571,12.7716,11.7737
2M08511872+1155497,13.9793,14.2924,13.5064
2M08511877+1151186,12.7983,13.2329,12.2028
2M08511886+1135177,15.8911,16.4135,15.213
2M08511897+1158110,12.0428,12.5336,11.3947
2M08511969+1149390,15.4349,15.877,14.8308
2M08512003+1151016,14.1466,14.4796,13.6537
2M08512012+1146416,12.6243,12.9108,12.1817
2M08512033+1145523,13.0102,13.3014,12.5584
2M08512055+1146047,13.0423,13.3378,12.5845
2M08512122+1145526,12.1106,12.4053,11.6547
2M08512129+1154144,15.9228,16.4781,15.2198
2M08512156+1146061,11.1467,11.6783,10.4628
2M08512176+1144050,14.0076,14.35,13.497
2M08512194+1153089,15.0717,15.4861,14.4967
2M08512199+1143450,16.3111,16.9188,15.5743
2M08512205+1146409,13.0481,13.3415,12.5943
2M08512214+1148278,15.4362,15.9158,14.788
2M08512240+1151291,13.1486,13.4419,12.6949
2M08512258+1140579,16.9554,17.7112,16.1205
2M08512280+1148016,10.1699,10.7136,9.47693
2M08512314+1154049,14.013,14.3309,13.5328
2M08512329+1147469,16.0805,16.6199,15.3575
2M08512377+1149493,11.2412,11.6874,10.628
2M08512386+1138521,14.3706,14.7101,13.8646
2M08512395+1124494,13.1483,13.4324,12.7022
2M08512408+1148218,12.679,12.9728,12.228
2M08512428+1123173,13.011,13.3025,12.5632
2M08512530+1202563,13.3852,13.9422,12.663
2M08512560+1153158,15.331,15.7693,14.7265
